"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R104","RESC2012N_ZERO","16028.125mil","5725mil","16028.125mil","5725mil","15988.755mil","5725mil","T","360.00","0805"
"ST14","CHERRYMX_STAB","8015.625mil","1587.5mil","8015.625mil","1562.5mil","8015.625mil","1287.5mil","T","180.00","Cherry MX Stabilizer"
"ST13","CHERRYMX_STAB","4078.125mil","1587.5mil","4078.125mil","1562.5mil","4078.125mil","1287.5mil","T","180.00","Cherry MX Stabilizer"
"ST12","CHERRYMX_STAB","8296.875mil","1587.5mil","8296.875mil","1562.5mil","8296.875mil","1287.5mil","T","180.00","Cherry MX Stabilizer"
"ST11","CHERRYMX_STAB","3796.875mil","1587.5mil","3796.875mil","1562.5mil","3796.875mil","1287.5mil","T","180.00","Cherry MX Stabilizer"
"ST10","CHERRYMX_STAB","8671.875mil","1587.5mil","8671.875mil","1562.5mil","8671.875mil","1287.5mil","T","180.00","Cherry MX Stabilizer"
"ST9","CHERRYMX_STAB","3421.875mil","1587.5mil","3421.875mil","1562.5mil","3421.875mil","1287.5mil","T","180.00","Cherry MX Stabilizer"
"ST8","CHERRYMX_STAB","16078.125mil","1587.5mil","16078.125mil","1562.5mil","16078.125mil","1287.5mil","T","180.00","Cherry MX Stabilizer"
"ST7","CHERRYMX_STAB","15140.625mil","1587.5mil","15140.625mil","1562.5mil","15140.625mil","1287.5mil","T","180.00","Cherry MX Stabilizer"
"ST6","CHERRYMX_STAB","17459.375mil","1468.75mil","17484.375mil","1468.75mil","17759.375mil","1468.75mil","T","270.00","Cherry MX Stabilizer"
"ST5","CHERRYMX_STAB","17459.375mil","2406.25mil","17484.375mil","2406.25mil","17759.375mil","2406.25mil","T","270.00","Cherry MX Stabilizer"
"ST4","CHERRYMX_STAB","11296.875mil","2337.5mil","11296.875mil","2312.5mil","11296.875mil","2037.5mil","T","180.00","Cherry MX Stabilizer"
"ST3","CHERRYMX_STAB","10359.375mil","2337.5mil","10359.375mil","2312.5mil","10359.375mil","2037.5mil","T","180.00","Cherry MX Stabilizer"
"ST2","CHERRYMX_STAB","11365.625mil","2968.75mil","11390.625mil","2968.75mil","11665.625mil","2968.75mil","T","270.00","Cherry MX Stabilizer"
"ST1","CHERRYMX_STAB","11365.625mil","3906.25mil","11390.625mil","3906.25mil","11665.625mil","3906.25mil","T","270.00","Cherry MX Stabilizer"
"SW96","CHERRYMX_5PIN","15984.375mil","3062.5mil","15984.375mil","3062.5mil","16134.375mil","2962.5mil","T","180.00","Num. 5"
"SW95","CHERRYMX_5PIN","12796.875mil","4562.5mil","12796.875mil","4562.5mil","12946.875mil","4462.5mil","T","180.00","Del"
"SW94","CHERRYMX_5PIN","16734.375mil","3062.5mil","16734.375mil","3062.5mil","16884.375mil","2962.5mil","T","180.00","Num. 6"
"SW93","CHERRYMX_5PIN","15234.375mil","3062.5mil","15234.375mil","3062.5mil","15384.375mil","2962.5mil","T","180.00","Num. 4"
"SW92","CHERRYMX_5PIN","14109.375mil","2312.5mil","14109.375mil","2312.5mil","14259.375mil","2212.5mil","T","180.00","Right"
"SW91","CHERRYMX_5PIN","17484.375mil","3062.5mil","17484.375mil","3062.5mil","17634.375mil","2962.5mil","T","180.00","Num. +"
"SW90","CHERRYMX_5PIN","15234.375mil","3812.5mil","15234.375mil","3812.5mil","15384.375mil","3712.5mil","T","180.00","Num. 7"
