"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R58","RESC2012N_ZERO","8015.625mil","4093.75mil","8015.625mil","4093.75mil","8054.995mil","4093.75mil","B","180.00","0805"
"R57","RESC2012N_ZERO","7453.125mil","3343.75mil","7453.125mil","3343.75mil","7492.495mil","3343.75mil","B","180.00","0805"
"R56","RESC2012N_ZERO","7828.125mil","2593.75mil","7828.125mil","2593.75mil","7867.495mil","2593.75mil","B","180.00","0805"
"R55","RESC2012N_ZERO","16640.625mil","1843.75mil","16640.625mil","1843.75mil","16679.995mil","1843.75mil","B","180.00","0805"
"R54","RESC2012N_ZERO","8671.875mil","5968.75mil","8671.875mil","5968.75mil","8711.245mil","5968.75mil","B","180.00","0805"
"R53","RESC2012N_ZERO","6890.625mil","4843.75mil","6890.625mil","4843.75mil","6929.995mil","4843.75mil","B","180.00","0805"
"R52","RESC2012N_ZERO","7265.625mil","4093.75mil","7265.625mil","4093.75mil","7304.995mil","4093.75mil","B","180.00","0805"
"R51","RESC2012N_ZERO","6703.125mil","3343.75mil","6703.125mil","3343.75mil","6742.495mil","3343.75mil","B","180.00","0805"
"R50","RESC2012N_ZERO","7078.125mil","2593.75mil","7078.125mil","2593.75mil","7117.495mil","2593.75mil","B","180.00","0805"
"R49","RESC2012N_ZERO","16640.625mil","2593.75mil","16640.625mil","2593.75mil","16679.995mil","2593.75mil","B","180.00","0805"
"R48","RESC2012N_ZERO","7734.375mil","5968.75mil","7734.375mil","5968.75mil","7773.745mil","5968.75mil","B","180.00","0805"
